"L1X2255Y0849","Anesthesia Conf Floor L1","2023-01-01"
"2X3775Y0745","Hallway 44 Floor 6","2023-01-01"
"L1X2665Y1043","Medical Records Conference Room Floor L1","2023-01-01"
"L1X2445Y1245","Abrams Conference Room","2023-01-01"
"L1X1980Y0844","Day Surgery Family Waiting Floor L1","2023-01-01"
"L1X1845Y0844","Day Surgery Family Waiting Exit Floor L1","2023-01-01"
"L1X2310Y1043","Medical Records Film Library Floor L1","2023-01-01"
"L1X1732Y0924","Hallway 1 Floor L1","2023-01-01"
"L2X2360Y0854","Hallway K Elevator Floor L2","2023-01-01"
"L1X2445Y1043","Hallway 2 Floor L1","2023-01-01"
"L2X2270Y0904","Hallway 2 Floor L2","2023-01-01"
"2X1580Y2538","Hall","2023-01-01"
"3X1648Y2968","BTM Conference Center","2023-01-01"
"1X1401Y2628","Neuroscience Waiting Room","2023-01-01"
"2X1395Y2674","Orthopedics and Rhemutalogy","2023-01-01"
"1X1720Y2847","MS Waiting","2023-01-01"
"1X0986Y2852","CART Waiting","2023-01-01"
"1X1534Y2777","Elevator S 01","2023-01-01"
"2X1532Y2777","Elevator S 02","2023-01-01"
"3X1539Y2773","Elevator S Floor 3","2023-01-01"
"L2X1630Y2742","Elevator S L2","2023-01-01"
"L2X1696Y2788","Parking Garage L2","2023-01-01"
"1X1638Y2553","Hall","2023-01-01"
"2X1591Y2560","Hall","2023-01-01"
"3X1534Y2732","Hall","2023-01-01"
"L2X1627Y2782","Hallway to Elevator","2023-01-01"
"1X1608Y2596","Hall","2023-01-01"
"2X1590Y2604","Hall","2023-01-01"
"3X1600Y2732","Hall","2023-01-01"
"L2X1698Y2776","Hallway Intersection","2023-01-01"
"1X1608Y2737","Hall","2023-01-01"
"2X1590Y2745","Hall","2023-01-01"
"3X1650Y2732","Hall","2023-01-01"
"L2X1701Y2734","Hall","2023-01-01"
"1X1420Y2737","Hall","2023-01-01"
"2X1528Y2745","Hall","2023-01-01"
"3X1650Y2766","Hall","2023-01-01"
"L2X1698Y2687","Hall","2023-01-01"
"1X1420Y2865","Hall","2023-01-01"
"2X1398Y2745","Hall","2023-01-01"
"3X1650Y2855","Hall","2023-01-01"
"1X1678Y2865","Hall","2023-01-01"
"2X1683Y2543","Hall","2023-01-01"
"3X1580Y2858","HallNode","2023-01-01"
"1X1017Y2865","Hall","2023-01-01"
"1X1532Y2739","Hall","2023-01-01"
"1X1581Y2566","Hall","2023-01-01"
"1X1605Y2568","Hall","2023-01-01"
